1 hour ago,לפני שעה 1,
1 minute ago,לפני דקה 1,
1 month ago,לפני חודש,
1 of 2,1 מתוך 2,
1 record will be exported,רשומה אחת תיוצא,
1 second ago,לפני שנייה אחת,
1 week ago,לפני שבוע 1,
1 year ago,לפני שנה,
2 hours ago,לפני שעתיים,
2 months ago,לפני חודשיים,
2 weeks ago,לפני שבועיים,
2 years ago,לפני שנתיים,
3 minutes ago,לפני 3 דקות,
30 minutes,30 דקות,
4 hours,4 שעות,
5 Records,5 רשומות,
5 days ago,לפני 5 ימים,
; not allowed in condition,; אסור במצב,
<b>{0}</b> is not a valid URL,<b>{0}</b> אינו כתובת אתר חוקית,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"" style="";text-align:right;direction:rtl"">נא לא לעדכן אותו כי זה יכול לבלבל את הטופס שלך. השתמש בתצוגת התאמה אישית של טופס ושדות מותאמים אישית כדי להגדיר מאפיינים!</div>",
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li><code>.FY.</code> - Fiscal Year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
","<div class=""well"" style="";text-align:right;direction:rtl"">
 ערוך את רשימת הסדרות בתיבה. כללים:
<ul style="";text-align:right;direction:rtl""> 
<li style="";text-align:right;direction:rtl""> כל קידומת סדרה בשורה חדשה.</li> 
<li style="";text-align:right;direction:rtl""> התווים המיוחדים המותרים הם &quot;/&quot; ו-&quot;-&quot;</li> 
<li style="";text-align:right;direction:rtl""> 
 לחלופין, הגדר את מספר הספרות בסדרה באמצעות נקודה (.)
 ואחריו hashes (#). לדוגמה, &quot;.####&quot; פירושו שהסדרה
 יהיו עם ארבע ספרות. ברירת המחדל היא חמש ספרות.
</li> 
<li style="";text-align:right;direction:rtl""> 
 אתה יכול גם להשתמש במשתנים בשם הסדרה על ידי הצבתם
 בין (.) נקודות
<br> 
 משתנים נתמכים:
<ul style="";text-align:right;direction:rtl""> 
<li style="";text-align:right;direction:rtl""> <code>.YYYY.</code> - שנה ב-4 ספרות</li> 
<li style="";text-align:right;direction:rtl""> <code>.YY.</code> - שנה ב-2 ספרות</li> 
<li style="";text-align:right;direction:rtl""> <code>.MM.</code> - חודש</li> 
<li style="";text-align:right;direction:rtl""> <code>.DD.</code> - יום בחודש</li> 
<li style="";text-align:right;direction:rtl""> <code>.WW.</code> - שבוע בשנה</li> 
<li style="";text-align:right;direction:rtl""> <code>.FY.</code> - שנת כספים</li> 
<li style="";text-align:right;direction:rtl""> 
 <code>.{fieldname}.</code> - שם שדה במסמך למשל
 <code>branch</code> 
</li> 
</ul> 
</li> 
</ul> 
 דוגמאות:
<ul style="";text-align:right;direction:rtl""> 
<li style="";text-align:right;direction:rtl""> INV-</li> 
<li style="";text-align:right;direction:rtl""> INV-10-</li> 
<li style="";text-align:right;direction:rtl""> INVK-</li> 
<li style="";text-align:right;direction:rtl""> INV-.YYYY.-.{branch}.-.MM.-.####</li> 
</ul> 
</div> 
<br> 
",
"<h3>Print Format Help</h3>
<hr>
<h4>Introduction</h4>
<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>
<hr>
<h4>References</h4>
<ol>
	<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>
	<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>
</ol>
<hr>
<h4>Example</h4>
<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=""row""&gt;
	&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;
	&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=""table table-bordered""&gt;
	&lt;tbody&gt;
		&lt;tr&gt;
			&lt;th&gt;Sr&lt;/th&gt;
			&lt;th&gt;Item Name&lt;/th&gt;
			&lt;th&gt;Description&lt;/th&gt;
			&lt;th class=""text-right""&gt;Qty&lt;/th&gt;
			&lt;th class=""text-right""&gt;Rate&lt;/th&gt;
			&lt;th class=""text-right""&gt;Amount&lt;/th&gt;
		&lt;/tr&gt;
		{%- for row in doc.items -%}
		&lt;tr&gt;
			&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;
			&lt;td style=""width: 20%;""&gt;
				{{ row.item_name }}
				{% if row.item_code != row.item_name -%}
				&lt;br&gt;Item Code: {{ row.item_code}}
				{%- endif %}
			&lt;/td&gt;
			&lt;td style=""width: 37%;""&gt;
				&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
			&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""rate"", doc) }}&lt;/td&gt;
			&lt;td style=""width: 15%; text-align: right;""&gt;{{
				row.get_formatted(""amount"", doc) }}&lt;/td&gt;
		&lt;/tr&gt;
		{%- endfor -%}
	&lt;/tbody&gt;
&lt;/table&gt;</code></pre>
<hr>
<h4>Common Functions</h4>
<table class=""table table-bordered"">
	<tbody>
		<tr>
			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>
			<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>
		</tr>
		<tr>
			<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>
			<td>Get value from another document.</td>
		</tr>
	</tbody>
</table>
","<h3 style="";text-align:right;direction:rtl"">עזרה בפורמט הדפסה</h3> 
<hr> 
<h4 style="";text-align:right;direction:rtl""> מבוא</h4> 
<p style="";text-align:right;direction:rtl""> פורמטי הדפסה מוצגים בצד השרת באמצעות שפת התבנית Jinja. לכל הטפסים יש גישה לאובייקט <code>doc</code> המכיל מידע על המסמך שעומד לעצב. אתה יכול גם לגשת לכלי עזר נפוצים דרך מודול <code>frappe</code> .</p> 
<p style="";text-align:right;direction:rtl""> לסטיילינג מסופקת מסגרת Boostrap CSS ותוכלו ליהנות מכל מגוון השיעורים.</p> 
<hr> 
<h4 style="";text-align:right;direction:rtl""> הפניות</h4> 
<ol style="";text-align:right;direction:rtl""> 
<li style="";text-align:right;direction:rtl""> <a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">שפת תבנית ג&#39;ינג&#39;ה</a></li> 
<li style="";text-align:right;direction:rtl""> <a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li> 
</ol> 
<hr> 
<h4 style="";text-align:right;direction:rtl""> דוגמה</h4> 
<pre style="";text-align:right;direction:rtl""> <code>&lt;h3&gt;{{ doc.select_print_heading or &quot;Invoice&quot; }}&lt;/h3&gt;
&lt;div class=&quot;row&quot;&gt;
 &lt;div class=&quot;col-md-3 text-right&quot;&gt;Customer Name&lt;/div&gt;
 &lt;div class=&quot;col-md-9&quot;&gt;{{ doc.customer_name }}&lt;/div&gt;
&lt;/div&gt;
&lt;div class=&quot;row&quot;&gt;
 &lt;div class=&quot;col-md-3 text-right&quot;&gt;Date&lt;/div&gt;
 &lt;div class=&quot;col-md-9&quot;&gt;{{ doc.get_formatted(&quot;invoice_date&quot;) }}&lt;/div&gt;
&lt;/div&gt;
&lt;table class=&quot;table table-bordered&quot;&gt;
 &lt;tbody&gt;
 &lt;tr&gt;
 &lt;th&gt;Sr&lt;/th&gt;
 &lt;th&gt;Item Name&lt;/th&gt;
 &lt;th&gt;Description&lt;/th&gt;
 &lt;th class=&quot;text-right&quot;&gt;Qty&lt;/th&gt;
 &lt;th class=&quot;text-right&quot;&gt;Rate&lt;/th&gt;
 &lt;th class=&quot;text-right&quot;&gt;Amount&lt;/th&gt;
 &lt;/tr&gt;
 {%- for row in doc.items -%}
 &lt;tr&gt;
 &lt;td style=&quot;width: 3%;&quot;&gt;{{ row.idx }}&lt;/td&gt;
 &lt;td style=&quot;width: 20%;&quot;&gt;
 {{ row.item_name }}
 {% if row.item_code != row.item_name -%}
 &lt;br&gt;Item Code: {{ row.item_code}}
 {%- endif %}
 &lt;/td&gt;
 &lt;td style=&quot;width: 37%;&quot;&gt;
 &lt;div style=&quot;border: 0px;&quot;&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;
 &lt;td style=&quot;width: 10%; text-align: right;&quot;&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;
 &lt;td style=&quot;width: 15%; text-align: right;&quot;&gt;{{
 row.get_formatted(&quot;rate&quot;, doc) }}&lt;/td&gt;
 &lt;td style=&quot;width: 15%; text-align: right;&quot;&gt;{{
 row.get_formatted(&quot;amount&quot;, doc) }}&lt;/td&gt;
 &lt;/tr&gt;
 {%- endfor -%}
 &lt;/tbody&gt;
&lt;/table&gt;</code></pre> 
<hr> 
<h4 style="";text-align:right;direction:rtl""> פונקציות נפוצות</h4> 
<table class=""table table-bordered"" style="";text-align:right;direction:rtl""> 
<tbody> 
<tr> 
<td style=""width: 30%;""> <code>doc.get_formatted(&quot;[fieldname]&quot;, [parent_doc])</code></td> 
<td> קבל ערך מסמך בפורמט של תאריך, מטבע וכו&#39;. העבר <code>doc</code> אב עבור שדות מסוג מטבע.</td> 
</tr> 
<tr> 
<td style=""width: 30%;""> <code>frappe.db.get_value(&quot;[doctype]&quot;, &quot;[name]&quot;, &quot;fieldname&quot;)</code></td> 
<td> קבל ערך ממסמך אחר.</td> 
</tr> 
</tbody> 
</table> 
",
"<h4>Default Template</h4>
<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>
<pre><code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>","<h4 style="";text-align:right;direction:rtl"">תבנית ברירת מחדל</h4> 
<p style="";text-align:right;direction:rtl""> משתמש ב- <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> וכל שדות הכתובת (כולל שדות מותאמים אישית אם קיימים) יהיו זמינים</p> 
<pre style="";text-align:right;direction:rtl""> <code>{{ address_line1 }}&lt;br&gt;
{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}
{{ city }}&lt;br&gt;
{% if state %}{{ state }}&lt;br&gt;{% endif -%}
{% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%}
{{ country }}&lt;br&gt;
{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}
{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}
{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}
</code></pre>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"" style="";text-align:right;direction:rtl"">או</h5>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>","<p style="";text-align:right;direction:rtl""><strong>דוגמאות למצב:</strong></p> 
<pre style="";text-align:right;direction:rtl""> doc.status==&quot;פתוח&quot;<br> doc.due_date==nowdate()<br> doc.total &gt; 40000
</pre>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>
","<p style="";text-align:right;direction:rtl""><strong>דוגמאות למצב:</strong></p> 
<pre style="";text-align:right;direction:rtl""> doc.status==&quot;פתוח&quot;<br> doc.due_date==nowdate()<br> doc.total &gt; 40000
</pre> 
",
"<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p>
<p>If you create a separate webform every year to capture feedback from employees add a 
 field named year in doctype and add a filter <b>year = 2023</b></p>
","<p style="";text-align:right;direction:rtl"">ניתן ליצור טופסי אינטרנט מרובים עבור doctype יחיד. הוסף מסננים ספציפיים לטופס אינטרנט זה כדי להציג את הרשומה הנכונה לאחר ההגשה.</p><p style="";text-align:right;direction:rtl""> לדוגמה:</p> 
<p style="";text-align:right;direction:rtl""> אם אתה יוצר טופס אינטרנט נפרד מדי שנה כדי ללכוד משוב מהעובדים, הוסף 
 שדה בשם שנה ב-doctype והוסף <b>שנה מסנן = 2023</b></p> 
",
"<p>Set context before rendering a template. Example:</p><p>
</p><div><pre><code>
context.project = frappe.get_doc(""Project"", frappe.form_dict.name)
</code></pre></div>","<p style="";text-align:right;direction:rtl"">הגדר הקשר לפני עיבוד תבנית. דוגמה:</p><p style="";text-align:right;direction:rtl""> 
</p><div style="";text-align:right;direction:rtl""><pre style="";text-align:right;direction:rtl""> <code>
context.project = frappe.get_doc(&quot;Project&quot;, frappe.form_dict.name)
</code></pre></div>",
"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;""><code>// here root_element is provided by default
let some_class_element = root_element.querySelector('.some-class');
some_class_element.textContent = ""New content"";
</code></pre>","<p style="";text-align:right;direction:rtl"">כדי ליצור אינטראקציה עם ה-HTML שלמעלה תצטרך להשתמש ב-&#39;root_element&#39; בתור בורר הורה.</p><p style="";text-align:right;direction:rtl""> לדוגמה:</p><pre class=""p-3 bg-gray-100 border-radius rounded-sm mb-0"" style=""width: fit-content;;text-align:right;direction:rtl""> <code>// here root_element is provided by default
let some_class_element = root_element.querySelector(&#39;.some-class&#39;);
some_class_element.textContent = &quot;New content&quot;;
</code></pre>",
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>","<p style="";text-align:right;direction:rtl"">סוד ה-OTP שלך ב-{0} אופס. אם לא ביצעת איפוס זה ולא ביקשת זאת, אנא פנה מיד למנהל המערכת שלך.</p>",
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,<strong>אזהרה:</strong> שדה זה נוצר על ידי מערכת ועשוי להיחלף על ידי עדכון עתידי. שנה אותו באמצעות {0} במקום זאת.,
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","שם של DocType צריך להתחיל באות ויכול להכיל רק אותיות, מספרים, רווחים, קווים תחתונים ומקפים",
A featured post must have a cover image,לפוסט מוצג חייבת להיות תמונת שער,
A field with the name {0} already exists in {1},שדה עם השם {0} כבר קיים ב-{1},
A file with same name {} already exists,כבר קיים קובץ עם אותו שם {},
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,רשימת משאבים אליהם תהיה גישה לאפליקציית הלקוח לאחר שהמשתמש מאפשר זאת.<br> למשל פרויקט,
A new account has been created for you at {0},חשבון חדש נוצר עבורך {0},
A recurring {0} {1} has been created for you via Auto Repeat {2}.,נוצר עבורך {0} {1} דרך חזרה אוטומטית {2}.,
A symbol for this currency. For e.g. $,סימן של מטבע זה. לדוגמה: $$,
A template already exists for field {0} of {1},כבר קיימת תבנית עבור שדה {0} מתוך {1},
A word by itself is easy to guess.,מילה בפני עצמה קל לנחש.,
A0,A0,
A1,A1,
A2,A2,
A3,A3,
A4,A4,
A5,A5,
A6,A6,
A7,A7,
A8,A8,
A9,A9,
ALL,כל,
API,ממשק API,
API Access,גישה ל- API,
API Endpoint,נקודת סיום API,
API Endpoint Args,API Endpoint Args,
API Key,מפתח API,
API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,מפתח API וסוד לאינטראקציה עם שרת הממסר. אלה יופקו אוטומטית כאשר הודעת הדחיפה הראשונה תישלח מכל אחת מהאפליקציות המותקנות באתר זה.,
API Key cannot be regenerated,לא ניתן ליצור מחדש מפתח API,
API Method,שיטת API,
API Secret,API Secret,
ASC,ASC,
About,אודות,
About Us,אודותינו,
About Us Settings,אודות הגדרות קשר,
About Us Team Member,אודות חבר צוות,
About {0} minute remaining,בערך {0} דקה שנותרה,
About {0} minutes remaining,נותרו בערך {0} דקות,
About {0} seconds remaining,נותרו בערך {0} שניות,
Access Control,בקרת גישה,
Access Key ID,זיהוי מפתח גישה,
Access Key Secret,סוד מפתח גישה,
Access Log,יומן גישה,
Access Token,גישת אסימון,
Access Token URL,כתובת URL של אסימון גישה,
Access not allowed from this IP Address,גישה מותרת מכתובת IP זו,
Account,חשבון,
Account Deletion Settings,הגדרות מחיקת חשבון,
Accounts Manager,מנהל חשבונות,
Accounts User,חשבונות משתמשים,
Action,פעולה,
Action / Route,פעולה / מסלול,
Action Complete,הפעולה הושלמה,
Action Failed,הפעולה נכשלה,
Action Label,תווית פעולה,
Action Timeout (Seconds),פסק זמן לפעולה (שניות),
Action Type,סוג פעולה,
Action {0} completed successfully on {1} {2}. View it {3},פעולה {0} הושלמה בהצלחה ב-{1} {2}. הצג אותו {3},
Action {0} failed on {1} {2}. View it {3},הפעולה {0} נכשלה ב-{1} {2}. הצג אותו {3},
Actions,פעולות,
Activate,להפעיל,
Active,פעיל,
Active Directory,Active Directory,
Active Domains,תחומים פעילים,
Active Sessions,מפגשים אקטיבים,
Activity,פעילות,
Activity Log,יומן פעילות,
Add,להוסיף,
Add / Remove Columns,הוסף/הסר עמודות,
Add / Update,הוספה / עדכון,
Add A New Rule,הוספת של חוק חדש,
Add Attachment,הוסף קובץ מצורף,
Add Background Image,הוסף תמונת רקע,
Add Border at Bottom,הוסף גבול בתחתית,
Add Border at Top,הוסף גבול למעלה,
Add Card to Dashboard,הוסף כרטיס ללוח המחוונים,
Add Chart to Dashboard,הוסף תרשים למרכז השליטה,
Add Child,הוסף לילדים,
Add Column,להוסיף טור,
Add Contact,הוסף איש קשר,
Add Contacts,הוסף אנשי קשר,
Add Container,הוסף מיכל,
Add Custom Tags,הוסף תגים מותאמים אישית,
Add Filters,הוסף מסננים,
Add Gray Background,הוסף רקע אפור,
Add Group,הוסף קבוצה,
Add Indexes,הוסף אינדקסים,
Add Multiple,הוסף מרובה,
Add New,הוסף חדש,
Add New Permission Rule,הוסף כלל אישורים והיתרים חדשים,
Add Participants,להוסיף משתתפים,
Add Query Parameters,הוסף פרמטרים של שאילתה,
Add Review,הוסף ביקורת,
Add Roles,הוסף תפקידים,
Add Row,להוסיף שורה,
Add Signature,להוסיף את החתימה,
Add Space at Bottom,הוסף מקום בתחתית,
Add Space at Top,הוסף מקום בראש,
Add Subscribers,להוסיף מנויים,
Add Tags,הוסף תגיות,Button in list view actions menu
Add Template,הוסף תבנית,
Add Total Row,"להוסיף סה""כ Row",
Add Unsubscribe Link,הוסף קישור ביטול מנוי,
Add User Permissions,הוסף הרשאות משתמש,
Add Video Conferencing,הוסף ועידת וידאו,
Add a Filter,הוסף מסנן,
Add a New Role,הוסף תפקיד חדש,
Add a Row,הוסף שורה,
Add a comment,הוסף ביקורת,
Add a new section,הוסף קטע חדש,
Add a row above the current row,הוסף שורה מעל השורה הנוכחית,
Add a row at the bottom,הוסף שורה בתחתית,
Add a row at the top,הוסף שורה למעלה,
Add a row below the current row,הוסף שורה מתחת לשורה הנוכחית,
Add a {0} Chart,הוסף תרשים {0},
Add column,הוסף עמודה,
Add field,הוסף שדה,
Add new tab,הוסף כרטיסייה חדשה,
Add page break,הוסף מעבר עמוד,
Add script for Child Table,הוסף סקריפט לשולחן ילד,
Add section above,הוסף סעיף למעלה,
Add section below,הוסף סעיף למטה,
Add tab,הוסף כרטיסייה,
Add to Dashboard,הוסף למרכז השליטה,
Add to ToDo,הוסף ל- ToDo,
Add to table,הוסף לטבלה,
Add to this activity by mailing to {0},הוסף לפעילות זו על ידי שליחת דואר אל {0},
Add {0},הוסף {0},Primary action in list view
Add/Update Filter,הוסף/עדכן מסנן,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML הוסיף ב&lt; head&gt; של דף האינטרנט, המשמש בעיקר לאימות אתר וקידום אתרים",
Added default log doctypes: {},נוספו ברירת מחדל של מסמכים ביומן: {},
Added {0},נוסף {0},
Added {0} ({1}),הוסיף {0} ({1}),
Additional Permissions,הרשאות נוספות,
Address,כתובת,
Address Line 1,שורת כתובת 1,
Address Line 2,שורת כתובת 2,
Address Template,תבנית כתובת,
Address Title,כותרת כתובת,
Address Title is mandatory.,כותרת כתובת היא חובה.,
Address Type,סוג הכתובת,
Address and other legal information you may want to put in the footer.,כתובת ומידע משפטי אחר שאולי כדאי לשים בכותרת התחתונה.,
Addresses,כתובות,
Addresses And Contacts,כתובות ואנשי קשר,
Adds a custom client script to a DocType,מוסיף סקריפט לקוח מותאם אישית ל-DocType,
Adds a custom field to a DocType,מוסיף שדה מותאם אישית לDOCTYPE,
Administration,מנהל,
Administrator,מנהל,
Administrator Logged In,מנהל מחובר,
Administrator accessed {0} on {1} via IP Address {2}.,מנהל נצפה {0} על {1} באמצעות כתובת IP {2}.,
Advanced,מתקדם,
Advanced Control,שליטה מתקדמת,
Advanced Search,חיפוש מתקדם,
Advanced Settings,הגדרות מתקדמות,
After,לאחר,
After Cancel,לאחר ביטול,
After Delete,לאחר מחיקה,
After Insert,לאחר הכנס,
After Rename,לאחר שינוי שם,
After Save,לאחר שמירה,
After Save (Submitted Document),לאחר שמירה (מסמך שהוגש),
After Submission,לאחר ההגשה,
After Submit,לאחר הגשה,
Aggregate Field is required to create a number card,שדה מצטבר נדרש ליצירת כרטיס מספר,
Aggregate Function Based On,פונקציה מצטברת המבוססת על,
Aggregate Function field is required to create a dashboard chart,נדרש שדה פונקציה מצטבר כדי ליצור תרשים לוח מחוונים,
Alert,ערני,
Align,יישר,
Align Labels to the Right,יישר תוויות ימינה,
Align Right,ליישור מימין,
Align Value,יישור ערך,
All,כל,
All Day,כל היום,
All Images attached to Website Slideshow should be public,כל התמונות המצורפות למצגת האתר צריכות להיות ציבוריות,
All Records,כל הרשומות,
All Results,כל התוצאות,
All Submissions,כל ההגשות,
All Time,כל הזמן,
All customizations will be removed. Please confirm.,כל ההתאמות האישיות יוסרו. אנא אשר.,
All fields are necessary to submit the comment.,כל השדות נחוצים כדי לשלוח את ההערה.,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","כל מצבי זרימת העבודה האפשריים והתפקידים של זרימת העבודה. אפשרויות Docstatus: 0 הוא &quot;שמור&quot;, 1 הוא &quot;נשלח&quot; ו-2 הוא &quot;מבוטל&quot;",
All-uppercase is almost as easy to guess as all-lowercase.,All-רישיות הוא כמעט כמו קל לנחש כמו כל-הקטנה.,
Allocated To,שהוקצה ל,
Allot Points To Assigned Users,הקצאת נקודות למשתמשים שהוקצו,
Allow,להתיר,
Allow API Indexing Access,אפשר גישה לאינדקס API,
Allow Auto Repeat,אפשר חזרה אוטומטית,
Allow Bulk Edit,אפשר עריכה בכמות גדולה,
Allow Bulk Editing,אפשר עריכה בכמות גדולה,
Allow Comments,אפשר הערות,
Allow Consecutive Login Attempts ,אפשר ניסיונות כניסה רצופים,
Allow Delete,לאפשר מחיקה,
Allow Dropbox Access,אפשר גישה Dropbox,
Allow Editing After Submit,אפשר עריכה לאחר השליחה,
Allow Google Calendar Access,אפשר גישה ליומן Google,
Allow Google Contacts Access,אפשר גישה לאנשי הקשר של Google,
Allow Google Drive Access,לאפשר גישה ל- Google Drive,
Allow Guest,אפשר לאורח,
Allow Guest to View,אפשר לאורח לצפות,
Allow Guest to comment,אפשר לאורח להגיב,
Allow Guests to Upload Files,אפשר לאורחים להעלות קבצים,
Allow Import (via Data Import Tool),אפשר ייבוא (באמצעות כלי ייבוא נתונים),
Allow Incomplete Forms,אפשר טפסים לא שלמים,
Allow Login After Fail,אפשר כניסה לאחר כישלון,
Allow Login using Mobile Number,אפשר כניסה באמצעות מספר נייד,
Allow Login using User Name,אפשר כניסה באמצעות שם משתמש,
Allow Modules,אפשר מודולים,
Allow Multiple Responses,אפשר מספר תגובות,
Allow Older Web View Links (Insecure),אפשר קישורי תצוגת אינטרנט ישנים יותר (לא מאובטח),
Allow Print,אפשר הדפסה,
